E,"30,000 (Edmondson 1992)."
Ekegusii,"2,705,000 in Kenya, all users. L1 users: 2,205,000 (2009 census), increasing. L2 users: 500,000. Total users in all countries: 2,705,300 (as L1: 2,205,300; as L2: 500,000)."
Enawené-Nawé,320 (Moore 2006). Most are still monolingual (Crevels 2007). Ethnic population: 540 (2009 FUNASA).
Erzya,"36,700 (2010 census). Ethnic population: 57,000 (2010 census). Total users in all countries: 114,540."
Eastern Franconian,
Eki,"Cross River state: northeast of Efik, south of Idere."
Ende,"110,000 (2009 census)."
Esan,"300,000 (Okojie 1994). 7,000 Ekpon in 7 villages (1998)."
Ebira,"1,000,000 (1989 J. Adive). 900,000 monolinguals."
Ekit,"200,000 (1989)."
"Enets, Forest",.
Ese,"Oro province: Popondetta district, Kawawoki Mission area."
Ebrié,"75,900 (1988 census)."
Ekpeye,"30,000 (1973 SIL)."
"Enets, Tundra",.
Ese Ejja,"500 (Crevels 2007). Ethnic population: 940 (2006 PIB). Total users in all countries: 1,090."
Ebughu,"5,000 (1988)."
El Hugeirat,"50 (2007 SIL), decreasing. No monolinguals."
Enga,"230,000 (2000 census). 12,000 in Sau (1990 UBS)."
Eshtehardi,7 (Shifting).
Ecuadorian Sign Language,"231,000 (2011 CONADIS)."
El Molo,"8 (1994 I. Larsen), decreasing. Ethnic population: 2,840 (2009 census)."
Engdewu,210 (1999 SIL).
Esimbi,
Ede Cabe,"2,240 (2014 J. Leclerc)."
Eleme,Rivers state: Eleme LGA.
Engenni,"20,000 (1980 UBS)."
Eskayan,"500, all users. L1 users: No known L1 speakers. L2 users: 500 (2013 P. Kelly). Ethnic population: 3,000 (2013 P. Kelly)."
Ede Ica,"63,000 (2002 SIL)."
Elepi,330 (2003 SIL).
Enggano,"1,500 (2000 census), decreasing."
Esperanto,"2,001,000, all users. L1 users: 1,000 (Corsetti et al 2004), increasing. L2 users: 2,000,000 (Wandel 2015)."
Ede Idaca,
Elip,
English,"58,100,000 in United Kingdom, all users. L1 users: 56,600,000 (2011 census). England and Wales 49,800,000, Scotland 5,118,000, Northern Ireland 1,681,000. L2 users: 1,500,000 (Crystal 2003a). Total users in all countries: 983,522,920 (as L1: 371,959,910; as L2: 611,563,010)."
Esselen,No known L1 speakers. Ethnic population: 80 (2000 A. Yamamoto).
Ede Ije,"92,400 (2014 J. Leclerc)."
Elkei,"1,640 (2000 census)."
Enlhet,"6,440 (2002 census). Ethnic population: 7,220 (2002 census)."
Estonian,
"Ede Nago, Kura","25,000 (2002 SIL)."
Eloyi,
Enrekang,"50,000 (1986 SIL)."
Estonian Sign Language,"1,500 (Paales 2011). 4,500 users out of 1,600 deaf and 20,000 hearing impaired. 2,000 persons need regular help from interpreters (1998 U. Sutrop). 1,500 signers (2014 Estonian Deaf Association). 6,300 (2014 IMB)."
Edo,
